CODE;DESCRIPTION
"EV000716";"Marble"
"EV000717";"Screw mounting"
"EV000719";"Without cover"
"EV000724";"Floor"
"EV000725";"Ground spike"
"EV000726";"Supporting bracket"
"EV000728";"N-Connector"
"EV000731";"RJ45"
"EV000732";"RJ12 6(6)"
"EV000733";"D-Sub 9-pole"
"EV000734";"D-Sub 15-pole"
"EV000735";"Centronics 35-pole"
"EV000736";"Diode, 5-pole"
"EV000737";"Mini DIN 6 pole"
"EV000740";"IBM data plug"
"EV000741";"SC"
"EV000742";"Cable eye"
"EV000743";"LED/LCD"
"EV000751";"FDDI"
"EV000754";"D-Sub bus 9-pole"
"EV000756";"D-Sub bus 15-pole"
"EV000758";"D-Sub bus 25-pole"
"EV000759";"D-Sub plug 25-pole"
"EV000763";"F-Connector"
"EV000764";"Solder"
"EV000765";"Crimping"
"EV000766";"Screwing"
"EV000767";"Elbow plug"
"EV000768";"21-pole Scart"
"EV000770";"HD-D-Sub 15-pole"
"EV000771";"DIN 5-pole"
"EV000775";"Rear panel"
"EV000776";"Roof"
"EV000777";"482.6 mm (19 inch) mounting"
"EV000778";"DIN A4"
"EV000779";"DIN A5"
"EV000785";"Rail base"
"EV000788";"Mounting rail"
"EV000792";"Fibre optic cable guide"
"EV000793";"Cable bracket"
"EV000794";"Dehumidification"
"EV000814";"G5"
"EV000816";"AS4"
"EV000818";"Banana plug"
"EV000819";"Polyester"
"EV000823";"Protective tube reflector"
"EV000827";"Copper braiding"
"EV000833";"Sub-clock"
"EV000834";"Analogue, arabic figures"
"EV000835";"Analogue, bars"
"EV000836";"Gutter/roof"
"EV000837";"Pipe heating"
"EV000840";"Heat shrinking technique"
"EV000841";"Dry adhesive technology"
"EV000842";"Heating cable/connection cable"
"EV000843";"Heating cable/heating cable"
"EV000844";"Heating cable end piece"
"EV000845";"T-branch"
"EV000846";"Heating strip/housing"
"EV000847";"Equipped with closing"
"EV000848";"Provided with 3 connection sets"
"EV000849";"Without accessories"
"EV000850";"Value coin"
"EV000851";"Time-dependant"
"EV000852";"Consumption dependent"
"EV000853";"Microprocessor"
"EV000854";"3 digit display"
"EV000855";"230/400 V"
"EV000857";"Adhesive magnet"
"EV000858";"Screw-on plate"
"EV000859";"Table clamp"
"EV000863";"G2"
"EV000866";"Diode"
"EV000867";"Outdoor station"
"EV000868";"Wall mounting"
"EV000869";"Wall model"
"EV000870";"Free standing model"
"EV000873";"Alkali manganese"
"EV000874";"Zinc/coal"
"EV000875";"Mono"
"EV000876";"Baby"
"EV000877";"Mignon"
"EV000878";"Micro"
"EV000880";"Flat"
"EV000881";"Duplex"
"EV000882";"Flat-Pack"
"EV000883";"Halogen lamp"
"EV000884";"Alkali manganese/zinc"
"EV000885";"Lithium/manganese dioxide"
"EV000886";"Mercury oxide/zinc"
"EV000887";"Pocket calculator"
"EV000888";"Mounting angle"
"EV000891";"SC duplex"
"EV000892";"Connection terminal"
"EV000896";"A"
"EV000897";"With thread tap"
"EV000898";"With ceiling hooks"
"EV000899";"Bare"
"EV000900";"Large head"
"EV000901";"Rounded head"
"EV000905";"Video"
"EV000906";"Sealing flange"
"EV000907";"Conduit inlet"
"EV000909";"Standard door opener"
"EV000910";"Escape door opener"
"EV000911";"Door code opener"
"EV000913";"Silver oxide/zinc"
"EV000914";"Metal"
"EV000915";"Without indication"
"EV000916";"Manual testing device"
"EV000917";"Cat-5 testing device"
"EV000918";"Attenuation measuring device"
"EV000919";"Reflection meter"
"EV000920";"PC-cable tester"
"EV000921";"LAN Function testing device"
"EV000930";"Inner corner"
"EV000931";"Outer corner"
"EV000933";"T-piece"
"EV000934";"Polystyrene"
"EV000935";"Separating partition"
"EV000937";"Inside"
"EV000940";"Interface testing device"
"EV000941";"DIN rail (top hat rail)"
"EV000943";"Series switch"
"EV000944";"Dimmer"
"EV000945";"Surface mounting"
"EV000947";"Connection strip"
"EV000948";"Earthing strip"
"EV000949";"Separating strip"
"EV000950";"Solder/solder"
"EV000953";"Screw/solder"
"EV000954";"Screw/screw"
"EV000955";"Screw/solder - screw/solder"
"EV000957";"Earthing rail"
"EV000958";"Audio module"
"EV000959";"Charge module"
"EV000960";"Automatic change over switch"
"EV000961";"Tariff time switch"
"EV000962";"Tele control head-set"
"EV000963";"Locking device"
"EV000964";"Power-current switch"
"EV000966";"Telephone ringer side-unit"
"EV000971";"96 mm"
"EV000972";"170 mm"
"EV000973";"96/170 mm"
"EV000975";"Pay phone"
"EV000977";"Wall"
"EV000978";"Buzzer"
"EV000979";"Manual/automatic"
"EV000984";"Angular bus"
"EV000987";"Single push button"
"EV000989";"D-Sub/Centronics 25-pole"
"EV000990";"Surface mounted plug"
"EV000991";"Cabling panel"
"EV000994";"Analogue/digital"
"EV000995";"Flexible"
"EV001005";"Built-in installation box"
"EV001007";"Optic/acoustic"
"EV001008";"Screwed terminal"
"EV001009";"ISDN"
"EV001011";"Plastic, metallized"
"EV001012";"Cover"
"EV001014";"Corner joint"
"EV001023";"Plug/plug"
"EV001024";"Plug/bus"
"EV001025";"Bus/bus"
"EV001026";"IIC"
"EV001027";"Switch module"
"EV001032";"High-speed heater"
"EV001033";"Screwable heating element"
"EV001034";"Heating flange"
"EV001035";"1/N/PE/230 V"
"EV001037";"3/N/PE/400 V"
"EV001038";"3 handles"
"EV001039";"Plastic-covered"
"EV001041";"Wall storage tank"
"EV001043";"Vertical storage tank"
"EV001045";"Built-under"
"EV001046";"Over sink"
"EV001047";"Single circuit"
"EV001049";"2 steps"
"EV001050";"3 steps"
"EV001051";"4 steps"
"EV001052";"Bare wire"
"EV001053";"Tube heating element"
"EV001054";"Thermal"
"EV001057";"Thermostatic tap"
"EV001060";"Washbasin"
"EV001062";"Kitchen"
"EV001063";"Shower"
"EV001067";"Standard accumulator"
"EV001068";"Flat storage"
"EV001069";"Baseboard storage heating"
"EV001070";"High storage"
"EV001071";"Kitchen accumulator"
"EV001072";"1/N/PE~230 V, 3/N/PE~400 V"
"EV001078";"Sledge hammer"
"EV001079";"Telephone cable shears"
"EV001080";"Electrician's shears"
"EV001081";"Clamping console"
"EV001082";"Over sink/under sink"
"EV001085";"Clamp piece"
"EV001093";"Silicone"
"EV001099";"Label removal"
"EV001100";"Tight"
"EV001101";"Polyethylene, foamed (foam PE)"
"EV001105";"Socket outlet with protective contact (SCHUKO), straight"
"EV001106";"Cable end sleeve"
"EV001108";"Polyolefin"
"EV001109";"Fc2"
"EV001112";"Metal halide lamp"
"EV001113";"High pressure sodium-vapour lamp"
"EV001114";"Metal halide/sodium lamp"
"EV001116";"M13 x 1.0"
"EV001117";"M10 x 1.0"
"EV001118";"End piece"
"EV001119";"Edison lamp holder"
"EV001120";"Reduction lamp holder"
"EV001121";"Hanging lamp holder"
"EV001122";"Ceiling lamp holder"
"EV001123";"Illumination lamp holder"
"EV001131";"Solar vertical storage tank"
"EV001133";"Floor sensor"
"EV001141";"Nickel cadmium"
"EV001143";"Serial"
"EV001144";"Forward control"
"EV001145";"Backward controller"
"EV001146";"Forward-/backward control"
"EV001147";"Time control device"
"EV001148";"Group controller"
"EV001158";"Drilling template"
"EV001159";"FM"
